
# each coordinate pair is written on a different line: "x,y",
# only lines that start with digits are counted as coordinate lines


857,609
915,735
202,441
229,582
707,557
98,583
157,546
174,408
1197,235
1140,137
850,484
793,345
458,269
654,136
741,598
239,185
625,252
296,747
4,925
88,806
72,213
605,389
1105,726
783,371
186,933
889,70
302,23
737,291
34,440
857,188
895,867
654,213
893,603
766,455
155,340
135,462
572,983
1050,334
27,553
1197,357
1071,783
64,36
505,703
792,344
1050,382
551,735
770,810
237,361
1187,347
344,773
228,891
838,188
945,14
891,926
224,216
622,712
62,474
382,631
456,177
690,100
166,683
669,715
465,942
16,337
566,519
410,281
594,916
171,123
1005,495
1126,499
707,335
1188,49
29,780
677,58
799,767
690,67
682,276
174,997
529,477
1131,921
697,404
504,80
874,156
824,496
242,244
526,671
105,234
1188,53
287,560
827,978
97,702
525,81
1146,284
494,648
534,849
17,13
978,861
1047,966
79,599
290,221
1174,468
